D:\Anaconda3\python.exe D:/PycharmProjects/ML5/BoostMain.py
1 0.7422038013166988
2 0.7572166214395154
3 0.7747782142869772
4 0.7814108434975491
5 0.7845309170675826
6 0.7888195324411021
7 0.7894435760324034
8 0.7902404474205218
9 0.7908949739215634
10 0.7925180437511515
11 0.7917069366065659
12 0.7919468132491563
13 0.7935554265495879
14 0.79346968574767
15 0.7946561642777459
16 0.791399989216052
17 0.7944649976476301
18 0.7925949982637317
19 0.7935299357762653
20 0.7922114453891624
21 0.7936318056867581
22 0.7938305694279698
23 0.7936021875173245
24 0.7933627959531031
25 0.7948517715195218
26 0.7939345212759777
27 0.79376734859959
28 0.792601063013568
29 0.7935202494022727
30 0.7947487902968786
31 0.7924601331829907
32 0.7941476953249162
33 0.7937484597214086
34 0.7930614462392026
35 0.7936873035653355
36 0.7934840680364295
37 0.793104981104048
38 0.7933884035625588
39 0.7934656720306256
40 0.7940401140587433
41 0.7939082745331629
42 0.793469563805968
43 0.7940882900829794
44 0.792764825095978
45 0.7932080319301467
46 0.7938870953757275
47 0.7921139839770419
48 0.7929822791161424
49 0.7934240798963847
50 0.7946579655816269
25
AdaBoost:  0.8235880661603626

Process finished with exit code 0

D:\Anaconda3\python.exe D:/PycharmProjects/ML5/RandomForestMain.py
1 0.7275691474960104
2 0.791469503985802
3 0.8171960807100319
4 0.83979597547408
5 0.8471203899498843
6 0.8577090615781892
7 0.8634183219279299
8 0.8675934869249188
9 0.8728642341847742
10 0.8737330103325874
11 0.8776462645564191
12 0.8784980469046797
13 0.8822192913560428
14 0.8837284602200413
15 0.8823524862909375
16 0.8848769873468634
17 0.8863684765714499
18 0.8852861993305392
19 0.8868961825183961
20 0.8875977362824635
21 0.8881772800892952
22 0.8874069557435205
23 0.8882522516268917
24 0.8888948421301418
25 0.8908573386360583
26 0.8913522883303575
27 0.8913016888216718
28 0.892560597335532
29 0.8922087900905116
30 0.8922329567209903
31 0.8924057643832857
32 0.8941606583230891
33 0.8931308945378994
34 0.8933509459853799
35 0.8941869800791247
36 0.8946707146967512
37 0.8946014909444251
38 0.8947720295883371
39 0.8947517745059754
40 0.8952590365878356
41 0.8953625270765826
42 0.8956029925861102
43 0.8953547816409013
44 0.8940670584721959
45 0.8962089088922479
46 0.8961494996299839
47 0.8959376735169912
48 0.8961506822392244
49 0.8964618344808638
50 0.8957827391439762
49
Random Forest:  0.8948029806998472

Process finished with exit code 0
